NAME	KIND
BoundedContinuousFunction.AlgHom.compLeftContinuousBounded	def
BoundedContinuousFunction.AlgHom.compLeftContinuousBounded.congr_simp	thm
BoundedContinuousFunction.AlgHom.compLeftContinuousBounded_apply_apply	thm
BoundedContinuousFunction.C	def
BoundedContinuousFunction.Lp_nnnorm_le	thm
BoundedContinuousFunction.Lp_norm_le	thm
BoundedContinuousFunction.NNReal.upper_bound	thm
BoundedContinuousFunction.Simps.apply	def
BoundedContinuousFunction.abs_diff_coe_le_dist	thm
BoundedContinuousFunction.abs_self_eq_nnrealPart_add_nnrealPart_neg	thm
BoundedContinuousFunction.add_apply	thm
BoundedContinuousFunction.add_compContinuous	thm
BoundedContinuousFunction.add_norm_nonneg	thm
BoundedContinuousFunction.algebraMap_apply	thm
BoundedContinuousFunction.apply_le_nndist_zero	thm
BoundedContinuousFunction.apply_le_norm	thm
BoundedContinuousFunction.arzela_ascoli	thm
BoundedContinuousFunction.arzela_ascoli₁	thm
BoundedContinuousFunction.arzela_ascoli₂	thm
BoundedContinuousFunction.bddAbove_range_norm_comp	thm
BoundedContinuousFunction.bounded	thm
BoundedContinuousFunction.char	def
BoundedContinuousFunction.char.congr_simp	thm
BoundedContinuousFunction.charAlgHom	def
BoundedContinuousFunction.charAlgHom.congr_simp	thm
BoundedContinuousFunction.charAlgHom_apply	thm
BoundedContinuousFunction.charMonoidHom	def
BoundedContinuousFunction.charMonoidHom.congr_simp	thm
BoundedContinuousFunction.charMonoidHom_apply	thm
BoundedContinuousFunction.charPoly	def
BoundedContinuousFunction.charPoly.congr_simp	thm
BoundedContinuousFunction.char_add_eq_mul	thm
BoundedContinuousFunction.char_apply	thm
BoundedContinuousFunction.char_mem_charPoly	thm
BoundedContinuousFunction.char_neg	thm
BoundedContinuousFunction.char_zero_eq_one	thm
BoundedContinuousFunction.codRestrict	def
BoundedContinuousFunction.coeFnAddHom	def
BoundedContinuousFunction.coeFnAddMonoidHom	def
BoundedContinuousFunction.coeFnAddMonoidHom_apply	thm
BoundedContinuousFunction.coeFnMonoidHom	def
BoundedContinuousFunction.coeFnMonoidHom_apply	thm
BoundedContinuousFunction.coeFn_toLp	thm
BoundedContinuousFunction.coe_abs	thm
BoundedContinuousFunction.coe_add	thm
BoundedContinuousFunction.coe_compContinuous	thm
BoundedContinuousFunction.coe_inf	thm
BoundedContinuousFunction.coe_intCast	thm
BoundedContinuousFunction.coe_le_coe_add_dist	thm
BoundedContinuousFunction.coe_mk	thm
BoundedContinuousFunction.coe_mul	thm
